delta_power,delta_rel,theta_power,theta_rel,alpha_power,alpha_rel,beta_power,beta_rel,gamma_power,gamma_rel,spectral_entropy,peak_frequency,mean_frequency,amplitude_mean,amplitude_std,rms,delta_beta_ratio,theta_alpha_ratio,skewness,kurtosis,zero_crossing_rate,hjorth_activity,hjorth_mobility,hjorth_complexity
35.592908,0.497428,66.395036,0.323293,16.543768,0.09351,7.795728,0.075752,0.155363,0.010017,1.764677,1.935963,5.122699,17.03157,11.522851,30.148815,3.249356,3.215435,-0.056524,0.689402,0.026896,412.76341,0.051582,5.416277
137.208289,0.464722,52.630581,0.312549,5.629483,0.100297,10.075282,0.109726,0.473722,0.012706,1.747176,2.766823,6.679815,13.32726,14.65761,23.460066,7.416291,2.524014,0.003784,0.25855,0.021828,564.604846,0.06884,5.002425
6.009505,0.491267,37.547731,0.320762,6.152901,0.138647,2.77063,0.049325,0.764682,0.0,1.916246,1.32129,4.062387,13.186525,15.492497,16.585086,16.528554,2.80969,-0.093613,-0.631761,0.012703,58.923652,0.080818,4.035014
29.327021,0.381598,102.949528,0.370326,12.18494,0.086511,11.291496,0.15831,0.669736,0.003255,1.906858,1.346442,5.571291,16.998113,20.141796,17.506538,17.555922,3.894338,-0.291081,-0.07054,0.021761,577.595679,0.088806,4.396701
17.570767,0.424047,15.1963,0.318102,20.311327,0.074221,8.125734,0.174688,0.604749,0.008942,1.841302,2.110348,5.12589,8.854287,8.578707,18.298505,7.907712,3.1752,0.144881,0.243095,0.030553,372.150256,0.046324,5.309746
59.864433,0.553099,36.786332,0.354989,29.347776,0.053503,8.324165,0.029214,0.889633,0.009195,1.944576,2.541683,6.776352,21.231985,13.25491,22.656983,11.610779,4.074095,-0.020705,0.42896,0.016587,662.152116,0.081618,3.732611
91.827746,0.483187,69.669734,0.309318,9.860363,0.118768,11.878344,0.084802,0.0,0.003925,1.650288,1.978898,7.33083,17.240908,19.10174,10.620306,14.163554,6.078293,0.422479,0.300039,0.01542,478.520142,0.058327,4.972519
0.0,0.452705,84.163843,0.343647,19.762224,0.13559,4.498972,0.064528,0.688237,0.00353,1.525512,1.776305,6.369748,15.517195,20.700501,20.187253,9.855196,3.953,-0.074491,-0.117882,0.024673,137.951011,0.062926,2.802736
140.671344,0.379575,153.755175,0.324999,99.799445,0.227135,18.685812,0.056885,2.791791,0.011405,2.081087,2.077357,5.039006,27.816787,32.612572,36.427257,5.952943,1.595403,0.153958,-0.057699,0.017055,1155.975527,0.064137,3.21506
174.965365,0.484379,104.420324,0.269001,127.462258,0.167267,23.075803,0.072647,0.322843,0.006706,1.629779,2.74918,7.506401,27.554072,20.574967,27.238649,10.891552,2.056527,0.055981,-0.074691,0.011815,1213.98288,0.082483,3.732405
152.068786,0.425556,90.509176,0.287083,106.506471,0.210069,24.856274,0.066384,3.763249,0.010909,1.984115,2.721931,3.151818,20.320519,34.970518,33.903881,4.997165,1.317982,-0.252257,-1.014151,0.026792,2276.925687,0.082588,4.35474
160.122731,0.449757,141.63851,0.266362,97.196662,0.223441,19.729015,0.046899,2.061627,0.013541,1.800256,1.813406,4.571341,23.28467,23.578133,45.029637,9.983439,1.712111,-0.055619,-0.776365,0.01569,951.051507,0.074109,3.519877
211.904407,0.424132,85.204693,0.307217,127.396105,0.18856,22.304426,0.070364,2.472428,0.009728,1.988945,1.886949,4.875902,23.585884,34.746906,34.011025,18.187563,2.170086,-0.206765,-0.322449,0.018739,1651.77104,0.064442,4.517315
165.70907,0.323372,117.722559,0.354313,55.791411,0.227467,25.865073,0.077482,2.23686,0.017366,1.731799,2.18849,6.125473,27.103738,30.393692,40.950991,15.742623,1.320247,0.377969,-0.009641,0.02234,924.858279,0.047284,3.752679
147.115419,0.409816,99.131327,0.298277,80.071999,0.194349,27.151855,0.089243,3.428934,0.008316,2.110152,3.10482,5.917442,24.860616,32.918186,35.539593,12.768745,2.090997,0.223912,-0.529197,0.02722,1299.033727,0.042373,4.174402
161.19822,0.440032,132.541622,0.261692,88.003309,0.198243,18.363117,0.099227,1.481818,0.000806,1.9658,1.370836,6.867491,30.037234,43.695667,27.363108,16.922236,1.718055,0.052067,-0.38826,0.017915,142.229973,0.062037,4.112138
86.830508,0.329925,28.165955,0.40071,32.290658,0.146127,19.623405,0.103152,0.864159,0.020086,2.11379,2.671289,5.56205,7.268034,13.367467,17.683331,4.512375,2.172179,-0.242416,-0.52949,0.031938,249.400879,0.094588,2.908093
36.854361,0.393138,50.879036,0.366509,24.568298,0.178952,17.38054,0.05247,1.453551,0.008931,2.072711,3.502891,6.371189,11.202821,15.668526,15.826067,6.759139,2.634318,-0.132845,0.270185,0.030208,432.214605,0.098817,2.598443
23.193166,0.339628,28.211282,0.361162,28.439487,0.175805,13.588549,0.11962,1.339658,0.003786,2.065465,3.197097,6.653616,10.552596,14.966469,10.881079,4.189761,3.290822,0.253973,0.251107,0.032498,137.432003,0.104862,3.414948
36.590802,0.294018,32.584161,0.350664,28.780133,0.187593,15.981427,0.142341,1.252649,0.025384,2.18192,3.945046,5.36931,5.6955,11.052074,15.745918,4.90575,1.849079,0.200114,0.280037,0.035121,292.333473,0.105615,2.053606
19.844457,0.262104,57.020928,0.341487,32.882514,0.261583,9.390779,0.114339,0.522078,0.020488,2.044337,0.963165,5.349506,8.882336,8.69642,12.598172,4.862116,3.863793,0.100434,-0.076319,0.04198,72.765756,0.104138,2.906128
41.218223,0.328775,57.812758,0.376783,32.702853,0.183586,14.494042,0.093047,0.0,0.01781,1.866288,1.289243,5.861985,12.180844,11.867608,13.167578,2.427254,3.983107,0.157904,-0.70213,0.032794,431.653283,0.106964,2.609443
50.300192,0.311864,65.534932,0.357432,38.619258,0.227643,1.868561,0.09745,0.364584,0.005611,2.180751,3.118043,4.87333,13.766955,13.618403,10.630362,8.320087,2.181475,0.230865,0.319136,0.032638,293.386651,0.088915,2.943065
